@RELATION TweetClassify

@ATTRIBUTE iconhappy  NUMERIC
@ATTRIBUTE abc  NUMERIC
@ATTRIBUTE usa  NUMERIC
@ATTRIBUTE bn  NUMERIC
@ATTRIBUTE bo  NUMERIC
@ATTRIBUTE romney  NUMERIC
@ATTRIBUTE _  NUMERIC
@ATTRIBUTE dots  NUMERIC
@ATTRIBUTE obama  NUMERIC
@ATTRIBUTE cbs  NUMERIC
@ATTRIBUTE $  NUMERIC
@ATTRIBUTE us  NUMERIC
@ATTRIBUTE the  NUMERIC
@ATTRIBUTE 00  NUMERIC
@ATTRIBUTE cnn  NUMERIC
@ATTRIBUTE url  NUMERIC
@ATTRIBUTE not  NUMERIC
@ATTRIBUTE hyphens  NUMERIC
@ATTRIBUTE 0  NUMERIC
@ATTRIBUTE tv  NUMERIC
@ATTRIBUTE gop  NUMERIC
@ATTRIBUTE rt  NUMERIC
@ATTRIBUTE |  NUMERIC
@ATTRIBUTE iconsad  NUMERIC
@ATTRIBUTE =  NUMERIC
@ATTRIBUTE polarity NUMERIC
@ATTRIBUTE class  {-1,0,1}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
